time_s_50hz,ecg_50hz,ppg_50hz,r_peak_sample_index,r_peak_time_s,rr_ms,detector_name,quality_flag
0,0.4960251305,0.3044450784,,,,,
0.02,0.6373910675,0.458703917,,,,,
0.04,0.4234600744,0.402294723,,,,,
0.06,0.3969752902,0.4260959228,,,,,
0.08,0.3427489559,0.4066002165,,,,,
0.1,0.3638317021,0.4127748218,,,,,
0.12,0.3599357931,0.4039687507,,,,,
0.14,0.3844151519,0.4094876008,,,,,
0.16,0.391051023,0.4095498325,,,,,
0.18,0.4036816947,0.4117999479,,,,,
0.2,0.392622618,0.4062595876,,,,,
0.22,0.3826857254,0.4051243947,,,,,
0.24,0.4001547737,0.4123865455,,,,,
0.26,0.4315288128,0.4417557587,,,,,
0.28,0.3973462302,0.4965973993,,,,,
0.3,0.4167519208,0.543039926,,,,,
0.32,0.4227338442,0.5756681204,,,,,
0.34,0.434929224,0.5945666923,,,,,
0.36,0.368602087,0.6011310173,,,,,
0.38,0.5967319356,0.6032902722,,,,,
0.4,1.556351882,0.5981973819,20,0.4,,wfdb_xqrs,ok
0.42,0.6303202256,0.5825105267,,,,,
0.44,0.3680353238,0.5612281152,,,,,
0.46,0.3621035156,0.5269790477,,,,,
0.48,0.3626410607,0.5023124873,,,,,
0.5,0.400541291,0.494758878,,,,,
0.52,0.4044787262,0.4938639114,,,,,
0.54,0.4430942073,0.4904986063,,,,,
0.56,0.4793793985,0.4837822548,,,,,
0.58,0.5815523363,0.4764846094,,,,,
0.6,0.6944897802,0.4677617986,,,,,
0.62,0.7483887089,0.4560423353,,,,,
0.64,0.7144683007,0.4437457855,,,,,
0.66,0.5731423496,0.4326985603,,,,,
0.68,0.4279097367,0.4231928447,,,,,
0.7,0.3311413534,0.4171546162,,,,,
0.72,0.309451499,0.4139915297,,,,,
0.74,0.2995732195,0.4126048194,,,,,
0.76,0.3180190578,0.4122861468,,,,,
0.78,0.333308756,0.4142860546,,,,,
0.8,0.3339047072,0.4192279304,,,,,
0.82,0.3409713632,0.4211648749,,,,,
0.84,0.3321832024,0.4190265015,,,,,
0.86,0.3273563193,0.413458045,,,,,
0.88,0.3387739599,0.416581687,,,,,
0.9,0.3653341251,0.4320526255,,,,,
0.92,0.300769152,0.4678993906,,,,,
0.94,0.3427989397,0.5149075629,,,,,
0.96,0.2889461806,0.5580711259,,,,,
0.98,0.3651711708,0.5852369274,,,,,
1,0.1945523752,0.5910001686,,,,,
1.02,0.8870981311,0.5902008296,,,,,
1.04,1.38163491,0.5827719193,52,1.032,632,wfdb_xqrs,ok
1.06,0.2977670407,0.5672779347,,,,,
1.08,0.3524156809,0.5407541832,,,,,
1.1,0.2815324887,0.5121848925,,,,,
1.12,0.3343625281,0.4882217151,,,,,
1.14,0.3334257647,0.471643467,,,,,
1.16,0.3853323418,0.4675034487,,,,,
1.18,0.4343804159,0.4623155658,,,,,
1.2,0.5187861625,0.4524442862,,,,,
1.22,0.6463508659,0.4408789505,,,,,
1.24,0.7732037905,0.4299713079,,,,,
1.26,0.8051570534,0.4235588381,,,,,
1.28,0.7208618423,0.4172448476,,,,,
1.3,0.5418916302,0.4129282934,,,,,
1.32,0.3758907245,0.4114146211,,,,,
1.34,0.2719819956,0.4127239267,,,,,
1.36,0.2331617213,0.4145787709,,,,,
1.38,0.258167177,0.4163369772,,,,,
1.4,0.3059344487,0.4177043501,,,,,
1.42,0.3511378691,0.4183472975,,,,,
1.44,0.3797680089,0.420115934,,,,,
1.46,0.3886573111,0.4205204434,,,,,
1.48,0.378991927,0.4168433034,,,,,
1.5,0.3673333511,0.4123228168,,,,,
1.52,0.3688477473,0.4114981247,,,,,
1.54,0.3807273487,0.4229127301,,,,,
1.56,0.3091582754,0.4538384974,,,,,
1.58,0.3396250287,0.4994646045,,,,,
1.6,0.3170409369,0.5370324721,,,,,
1.62,0.3623049807,0.5635887005,,,,,
1.64,0.2631791453,0.5780398719,,,,,
1.66,0.5867015071,0.5792600931,,,,,
1.68,1.520860382,0.5741776054,84,1.68,648,wfdb_xqrs,ok
1.7,0.5377146551,0.5598271342,,,,,
1.72,0.3586392958,0.5329682909,,,,,
1.74,0.3507729922,0.5042518785,,,,,
1.76,0.371660414,0.4856472245,,,,,
1.78,0.3764843948,0.4716527957,,,,,
1.8,0.3972831486,0.4624416334,,,,,
1.82,0.4426207282,0.4561873926,,,,,
1.84,0.5022811611,0.445880381,,,,,
1.86,0.6020224475,0.4341815583,,,,,
1.88,0.7197693439,0.4253090593,,,,,
1.9,0.7764093204,0.4202745457,,,,,
1.92,0.7413046403,0.4154308323,,,,,
1.94,0.5969820645,0.4113866189,,,,,
1.96,0.4561126954,0.4085383288,,,,,
1.98,0.3745646722,0.4073508018,,,,,
2,0.3367617615,0.4080208589,,,,,
2.02,0.327756223,0.4080652146,,,,,
2.04,0.3551184598,0.4075958128,,,,,
2.06,0.3708574748,0.4096300539,,,,,
2.08,0.385663033,0.411979031,,,,,
2.1,0.3952377128,0.4115333557,,,,,
2.12,0.3865993304,0.4063444918,,,,,
2.14,0.3742037356,0.4049202402,,,,,
2.16,0.3845485948,0.4142856991,,,,,
2.18,0.4003495548,0.4469649468,,,,,
2.2,0.3476813586,0.4934215367,,,,,
2.22,0.347867589,0.5400861562,,,,,
2.24,0.3754961489,0.5788694173,,,,,
2.26,0.3472773538,0.6014462331,,,,,
2.28,0.3342822507,0.6099624454,,,,,
2.3,0.4154565785,0.6097210087,,,,,
2.32,1.454978195,0.6062414048,116,2.32,640,wfdb_xqrs,ok
2.34,0.7343526628,0.5898370942,,,,,
2.36,0.3379812033,0.5631460589,,,,,
2.38,0.3733171153,0.5343967492,,,,,
2.4,0.341430739,0.5130619453,,,,,
2.42,0.3972578479,0.5003089719,,,,,
2.44,0.4062846609,0.4943831559,,,,,
2.46,0.4432531259,0.4872120794,,,,,
2.48,0.4903304379,0.4764021727,,,,,
2.5,0.5808159733,0.4665084396,,,,,
2.52,0.6956209244,0.46045788,,,,,
2.54,0.7900450354,0.4549326775,,,,,
2.56,0.7774968111,0.4458208052,,,,,
2.58,0.6752463799,0.4355869748,,,,,
2.6,0.5272218956,0.423906933,,,,,
2.62,0.4408409382,0.4125997432,,,,,
2.64,0.3996876225,0.4090149104,,,,,
2.66,0.396305694,0.4096396533,,,,,
2.68,0.4173288435,0.4105125105,,,,,
2.7,0.4210269854,0.4104082931,,,,,
2.72,0.4228535121,0.4107490827,,,,,
2.74,0.4198218129,0.4107472418,,,,,
2.76,0.4029123862,0.4097234579,,,,,
2.78,0.3963101494,0.409542757,,,,,
2.8,0.3972941034,0.4122832315,,,,,
2.82,0.4118292809,0.430958284,,,,,
2.84,0.378269196,0.475723861,,,,,
2.86,0.3560654414,0.5280804548,,,,,
2.88,0.3645163968,0.5697879595,,,,,
2.9,0.3389885556,0.59015562,,,,,
2.92,0.3359917111,0.5995321797,,,,,
2.94,0.383738431,0.5991970543,,,,,
2.96,1.445959473,0.5901255621,148,2.96,640,wfdb_xqrs,ok
2.98,0.720457989,0.572130179,,,,,
3,0.265816239,0.5449353033,,,,,
3.02,0.3531452283,0.5104520506,,,,,
3.04,0.2950337016,0.4820886557,,,,,
3.06,0.3563151389,0.4711854666,,,,,
3.08,0.3502617249,0.4675268299,,,,,
3.1,0.3899483564,0.4643534219,,,,,
3.12,0.4429424937,0.4588397712,,,,,
3.14,0.5495397458,0.4511789929,,,,,
3.16,0.6786220478,0.4407274302,,,,,
3.18,0.751601489,0.4275110524,,,,,
3.2,0.724308466,0.4174585049,,,,,
3.22,0.5942992533,0.4116256253,,,,,
3.24,0.4241462041,0.4085968881,,,,,
3.26,0.3334501035,0.4050034187,,,,,
3.28,0.2968509048,0.4027766569,,,,,
3.3,0.2874462091,0.4010566121,,,,,
3.32,0.3047005614,0.3967037066,,,,,
3.34,0.3291365411,0.3907657072,,,,,
3.36,0.3373414252,0.388209684,,,,,
3.38,0.3533463716,0.3879536977,,,,,
3.4,0.3515460697,0.3853534183,,,,,
3.42,0.3451429552,0.3799325006,,,,,
3.44,0.3511165681,0.3796242922,,,,,
3.46,0.3805759453,0.3919086793,,,,,
3.48,0.3339570823,0.4242668576,,,,,
3.5,0.3439858864,0.4674174397,,,,,
3.52,0.3166396392,0.5134837652,,,,,
3.54,0.3300198566,0.5494575073,,,,,
3.56,0.2489648056,0.5704359714,,,,,
3.58,0.5485722165,0.5764258016,,,,,
3.6,1.549679755,0.5764869903,180,3.6,640,wfdb_xqrs,ok
3.62,0.5097414619,0.5662689098,,,,,
3.64,0.3379105549,0.5395591472,,,,,
3.66,0.3593207678,0.5097143082,,,,,
3.68,0.3407127348,0.4898240447,,,,,
3.7,0.3950453629,0.4787049121,,,,,
3.72,0.4025000241,0.4727513352,,,,,
3.74,0.4314432105,0.4681121005,,,,,
3.76,0.4861899939,0.4631280155,,,,,
3.78,0.6073862386,0.4569534349,,,,,
